enemy_id,experiment_id,gen_id,gen_max,overall_max,mean,var,std
2,1,1,91.972379,91.972379,24.762873,1164.104049,34.118969
2,1,2,92.327,92.327,40.366947,1439.330883,37.938515
2,1,3,92.327,92.327,51.729158,1427.555743,37.783009
2,1,4,92.327,92.327,58.876136,1249.124622,35.342957
2,1,5,92.327,92.327,55.487925,1408.272724,37.52696
2,1,6,93.127,93.127,56.840365,1396.386247,37.368252
2,1,7,92.927,93.127,61.864826,1297.989082,36.027616
2,1,8,92.927,93.127,66.097543,1121.304804,33.48589
2,1,9,92.927,93.127,63.388394,1220.262858,34.932261
2,1,10,92.576119,93.127,62.04547,1390.113821,37.28423
2,1,11,92.486571,93.127,69.762651,1127.88153,33.583948
2,1,12,92.524826,93.127,65.40208,1091.589277,33.039208
2,1,13,92.524826,93.127,59.571942,1319.465225,36.324444
2,1,14,93.989365,93.989365,64.810784,1287.617636,35.883389
2,1,15,92.53704,93.989365,54.763354,1471.262656,38.357042
2,1,16,92.486571,93.989365,54.942446,1498.477812,38.710177
2,1,17,92.718596,93.989365,58.817813,1329.818852,36.466681
2,1,18,92.73194,93.989365,62.841247,1383.393651,37.194
2,1,19,92.73194,93.989365,62.124613,1379.025534,37.135233
2,1,20,92.73194,93.989365,65.31656,1226.926527,35.027511
2,1,21,92.718596,93.989365,62.902944,1285.611915,35.855431
2,1,22,92.58272,93.989365,57.15563,1432.168739,37.844005
2,1,23,92.576119,93.989365,60.222745,1550.528081,39.376745
2,1,24,92.58272,93.989365,60.27091,1469.458443,38.333516
2,1,25,92.58272,93.989365,62.877143,1268.007339,35.609091
2,1,26,92.576119,93.989365,65.536737,1320.11914,36.333444
2,1,27,92.500134,93.989365,64.464257,1444.582617,38.007665
2,1,28,92.576119,93.989365,59.048286,1591.281951,39.890876
2,1,29,93.127,93.989365,60.340115,1581.027877,39.762141
2,1,30,92.576119,93.989365,65.964104,1412.099021,37.577906
2,1,31,92.58272,93.989365,60.972718,1566.319779,39.576758
2,1,32,92.58272,93.989365,59.57689,1457.335691,38.175066
2,1,33,92.58272,93.989365,70.291277,1162.973164,34.102392
2,1,34,92.58272,93.989365,61.573037,1510.867865,38.869884
2,1,35,92.58272,93.989365,62.2151,1564.877259,39.55853
2,1,36,92.857666,93.989365,68.529661,1245.043756,35.285178
2,1,37,92.58272,93.989365,64.220754,1324.649895,36.39574
2,1,38,92.53704,93.989365,67.790013,1335.956109,36.550733
2,1,39,92.53704,93.989365,69.774558,1250.226047,35.358536
2,1,40,92.53704,93.989365,62.29729,1482.233276,38.499783
2,1,41,92.53704,93.989365,72.249236,1137.636935,33.728874
2,1,42,92.379644,93.989365,63.089901,1531.855061,39.13892
2,1,43,92.379644,93.989365,70.156652,1277.549266,35.742821
2,1,44,92.327,93.989365,70.421883,1358.438508,36.857001
2,1,45,92.770654,93.989365,65.814326,1590.838379,39.885315
2,1,46,92.770654,93.989365,62.709265,1505.607588,38.80216
2,1,47,93.727,93.989365,66.066692,1379.767685,37.145224
2,1,48,93.727,93.989365,63.34338,1611.519116,40.143731
2,1,49,93.327,93.989365,66.624864,1406.793365,37.507244
2,1,50,93.327,93.989365,71.156616,1078.368872,32.838527
2,2,1,92.53704,92.53704,23.439516,1138.47744,33.741331
2,2,2,92.127,92.53704,52.209122,1267.030324,35.595369
2,2,3,92.372379,92.53704,52.429993,1452.241965,38.108293
2,2,4,92.572379,92.572379,57.874721,1438.988446,37.934001
2,2,5,92.527,92.572379,67.388051,1106.853566,33.269409
2,2,6,92.363558,92.572379,57.795783,1425.14709,37.75112
2,2,7,92.13704,92.572379,62.505167,1471.447534,38.359452
2,2,8,92.127,92.572379,67.766729,1339.149056,36.594386
2,2,9,93.127,93.127,74.111306,1017.627563,31.900275
2,2,10,93.127,93.127,62.778686,1444.276543,38.003639
2,2,11,92.53704,93.127,61.912096,1613.546165,40.16897
2,2,12,92.53704,93.127,63.779082,1481.694104,38.49278
2,2,13,93.727,93.727,62.442057,1602.041512,40.025511
2,2,14,93.727,93.727,60.518575,1534.721578,39.175523
